,word,Sad,Anx,Anger,Hate,Trustful,S,Happy
37,コンクール,0.005682159438102595,0.0,0.0,0.0,0.0,0.005897907624689562,0.0
38,入賞,0.005682159438102595,0.0,0.006144076447313538,0.0,0.0,0.0,0.0
39,悔しい,0.007706185468248421,0.0,0.0,0.0,0.0,0.0,0.0
40,事,0.05464870281393728,0.03063011581302749,0.08535400335829402,0.04914499756205786,0.06468189010687271,0.06302631254440877,0.050918448262555364
41,父方,0.015412370936496842,0.0,0.0,0.0,0.0,0.0,0.0
42,祖母,0.16836638358789163,0.0,0.006501903917681479,0.0031739694695607336,0.0029115216605098844,0.009362097547108112,0.0
43,両親,0.06274480693452059,0.005405314555240145,0.017508513509393645,0.006410217073311895,0.037241088243350956,0.008403508339254502,0.005875205568756388
44,死別,0.06297452153977291,0.0040042433675017645,0.0,0.0,0.0,0.004668973311449212,0.0
45,大学,0.028336364422041554,0.07387263225494865,0.008754256754696823,0.008546956097749194,0.0098002863798292,0.03571491044183163,0.021542420418773422
46,受験,0.03307196820476443,0.1686131842425974,0.0,0.0031739694695607336,0.0029115216605098844,0.015603495911846853,0.0
47,浪人,0.004498180109983779,0.02002121683750882,0.0,0.0,0.013068049306475536,0.0,0.0
48,翌年,0.007706185468248421,0.0,0.0,0.0,0.0,0.0,0.0
49,試験,0.019793232638703633,0.04184696513267926,0.002675284277843701,0.0052238671796919775,0.0023959591595260053,0.02568096226635586,0.0
50,志望,0.008996360219967558,0.0040042433675017645,0.0,0.0,0.0,0.004668973311449212,0.0
51,落ちる,0.016192208241166604,0.00900885759206691,0.0021885641886742056,0.0021367390244372985,0.005880171827897519,0.008403508339254502,0.0019584018562521293
52,金,0.006072078090437476,0.04324251644192116,0.05033697633950673,0.027777607317684878,0.0098002863798292,0.010504385424068128,0.007833607425008517
53,無い,0.03643246854262486,0.05765668858922822,0.13569097969780075,0.14316151463729898,0.14112412386954046,0.11764911674956302,0.05679365383131175
54,頑張る,0.010974400223870312,0.0,0.003955512258639333,0.0038618457929693144,0.014170076660926722,0.0,0.0
55,言う,0.04857662472349981,0.01801771518413382,0.10942820943371027,0.10256347317299032,0.0940827492463603,0.03361403335701801,0.017625616706269165
56,奴,0.0030065425640694934,0.0,0.02925856762956666,0.0380876336347288,0.0,0.0031206991823693707,0.0029090626556569125
57,自殺,0.01829066703978385,0.0,0.0,0.007723691585938629,0.0035425191652316804,0.015188122159503747,0.0
58,家族,0.05667272884408311,0.02162125822096058,0.017508513509393645,0.006410217073311895,0.0940827492463603,0.010504385424068128,0.166464157781431
59,女性,0.009896616319351816,0.0,0.005350568555687402,0.018283535128921925,0.0023959591595260053,0.015408577359813515,0.002393935587013835
60,馬鹿だ,0.006013085128138987,0.0,0.04226237546492962,0.015869847347803667,0.0,0.006241398364738741,0.0029090626556569125
61,気持ち良い,0.007706185468248421,0.0,0.0,0.0,0.0,0.0,0.0
62,家,0.012144156180874952,0.01081062911048029,0.013131385132045233,0.006410217073311895,0.005880171827897519,0.004201754169627251,0.003916803712504259
63,歌う,0.005682159438102595,0.0,0.0,0.0,0.0,0.0,0.02748964545258082
64,旦那,0.006072078090437476,0.00900885759206691,0.026262770264090466,0.014957173171061088,0.04116120279528263,0.008403508339254502,0.003916803712504259
65,うるさい,0.004498180109983779,0.0,0.014591545399553721,0.014246017842849863,0.0,0.0,0.0
66,義父,0.00731626681591354,0.0032564406222276286,0.003955512258639333,0.015447383171877258,0.0,0.0,0.0
67,入院,0.014844924479027724,0.01761977479270706,0.005350568555687402,0.0026119335898459888,0.011979795797630026,0.005136192453271172,0.0
68,祖父,0.10886277951286998,0.004404943698176765,0.008025852833531104,0.007835800769537967,0.0023959591595260053,0.005136192453271172,0.0
69,犬,0.05411776615325088,0.0,0.006501903917681479,0.0,0.0029115216605098844,0.009362097547108112,0.017454375933941474
70,東,0.015032712820347467,0.03211679699858998,0.0,0.0,0.0029115216605098844,0.015603495911846853,0.0029090626556569125
71,日本,0.012144156180874952,0.039638973405094396,0.010942820943371028,0.006410217073311895,0.005880171827897519,0.03361403335701801,0.003916803712504259
72,震災,0.021948800447740623,0.058615931200097324,0.0,0.0,0.0035425191652316804,0.030376244319007494,0.0
73,父親,0.08298506723597883,0.02162125822096058,0.021885641886742056,0.019230651219935686,0.013720400931760877,0.010504385424068128,0.0019584018562521293
74,無くなる,0.05121386771139478,0.009769321866682888,0.0,0.0038618457929693144,0.0,0.0037970305398759368,0.0
75,肉親,0.01463253363182708,0.0,0.007911024517278665,0.0038618457929693144,0.010627557495695042,0.0,0.0
76,死ぬ,0.1679941605021035,0.007207086073653527,0.0021885641886742056,0.004273478048874597,0.00196005727596584,0.008403508339254502,0.0019584018562521293
77,親,0.06679285899481223,0.012612400628893673,0.041582719584809906,0.02564086829324758,0.03332097369141927,0.010504385424068128,0.0019584018562521293
78,精神,0.006072078090437476,0.007207086073653527,0.0021885641886742056,0.0021367390244372985,0.013720400931760877,0.0021008770848136254,0.0019584018562521293
79,肉体,0.007706185468248421,0.0,0.0,0.0,0.0,0.0,0.0
80,虐待,0.004498180109983779,0.0,0.014591545399553721,0.023743363071416435,0.0,0.0,0.0
81,特に,0.014168182211020777,0.01801771518413382,0.07003405403757458,0.10470021219742762,0.0940827492463603,0.10294297715586764,0.043084840837546844
82,自分,0.05869675487422893,0.054053145552401455,0.12474815875442972,0.1153839073196141,0.11760343655795039,0.1071447313254949,0.021542420418773422
83,父,0.08500909326612466,0.014414172147307055,0.008754256754696823,0.010683695122186492,0.0098002863798292,0.012605262508881753,0.003916803712504259
84,挨拶,0.005682159438102595,0.0,0.018432229341940616,0.0,0.0,0.0,0.0
